"ref","value","footprint","Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8"
"U6","RE200B",,,,,,,,,
"Sw1","SPST-D",,"101-0624-EV",,,,,,,
"Sw2","SPST-D",,"101-0624-EV",,,,,,,
"R3","5.6K",,"279-CFR25J5K6",,,,,,,
"R41",220,,"301-220-RC",,,,,,,
"R42",220,,"301-220-RC",,,,,,,
"R45",220,,"301-220-RC",,,,,,,
"R12","5.1R",,"301-5.1-RC",,,,,,,
"R47",50,,"301-51-RC",,,,,,,
"R48",50,,"301-51-RC",,,,,,,
"R49",50,,"301-51-RC",,,,,,,
"R50",50,,"301-51-RC",,,,,,,
"R40","2.32K 1%",,"302-2.32K-RC",,,,,,,
"R11","45.3R",,"302-45.3-RC",,,,,,,
"Q1","SOT23-BEC","transistor-SOT23-BEC","512-MMBT3904",,,,,,,
"J3","RJ45",,"523-RJHSE-3081",,,,,,,
"U4","ENC28J60-SSOP","microchip-enc28j60-SSOP28","579-ENC28J60-I/SS",,,,,,,
"C27",".1uF",,"581-060316C104K",,,,,,,
"C33",".1uF",,"581-060316C104K",,,,,,,
"C35","0.1uF",,"581-060316C104K",,,,,,,
"C28","10-100nF",,"581-060316C104K",,,,,,,
"C29","10-100nF",,"581-060316C104K",,,,,,,
"C12","1nF","SM0603","581-06031C102K",100,,,,,,
"C13","1nF",,"581-06031C102K",,,,,,,
"C14","1nF",,"581-06031C102K",,,,,,,
"C15","1nF",,"581-06031C102K",,,,,,,
"C16","1nF",,"581-06031C102K",,,,,,,
"C17","1nF",,"581-06031C102K",,,,,,,
"C18","1nF",,"581-06031C102K",,,,,,,
"C19","1nF",,"581-06031C102K",,,,,,,
"C20","1nF",,"581-06031C102K",,,,,,,
"R56",10,,"603-AC0603FR-0710RL",,,,,,,
"R57",10,,"603-AC0603FR-0710RL",,,,,,,
"C30","10uF",,"603-CC603MRX5R5BB106",,,,,,,
"C21","22uF",,"603-CC805MKX5R5BB226","6.3V",,,,,,
"D2","5V",,"625-BZT52C5V1-V",,,,,,,
"U3","SI3402",,"634-SI3402-A-GM",,,,,,,
"C25","560uF",,"647-UUR1C681MNL1GS","6.3V",,,,,,
"C10","15uF",,"647-UUR2A220MNL1GS","100V",,,,,,
"J5","ISP",,"649-78548-406HLF",,,,,,,
"L2","33uH",,"652-SDR0805-330KL",,,,,,,
"R1","10K",,"667-ERJ-3EKF1002V",,,,,,,
"R51","25.5k",,"667-ERJ-3EKF2552V",,,,,,,
"R52","25.5k",,"667-ERJ-3EKF2552V",,,,,,,
"R6","25.5K",,"667-ERJ-3EKF2552V",,,,,,,
"R10","30.1k",,"667-ERJ-3EKF3012V",,,,,,,
"R17","9.424K",,"667-ERJ-3EKF9531V",,,,,,,
"R53","47k",,"667-ERJ-3GEYJ473V",,,,,,,
"R54","47k",,"667-ERJ-3GEYJ473V",,,,,,,
"R55","47k",,"667-ERJ-3GEYJ473V",,,,,,,
"U7","ZEPIR0AAS02MOD",,"692-ZMOT0BSB1A0CG",,,,,,,
"C6","100nF",,"77-VJ0603V104ZXAPBC","16V",,,,,,
"C34","1uf",,"77-VJ0603V105MXQPBC",,,,,,,
"C8","150pF",,"77-VJ0603Y151KXACBC","16V",,,,,,
"C22","3.3nF",,"77-VJ0603Y332KXACBC",16,,,,,,
"C23","3.3nF",,"77-VJ0603Y332KXACBC","16V",,,,,,
"C4","100nF",,"77-VJ0805V104MXBPBC","100V",,,,,,
"C5","100nF",,"77-VJ0805V104MXBPBC","100V",,,,,,
"C9","100nF",,"77-VJ0805V104MXBPBC","100V",,,,,,
"Q2","PNP","transistor-SOT23-BEC","771-BCW89215",,,,,,,
"L1","30ohmFB",,"81-BLM21P300S",,,,,,,
"L3","FB",,"81-BLM21P300S",,,,,,,
"C31","18pF",,"810-C1608C0G1H180J",,,,,,,
"C32","18pF",,"810-C1608C0G1H180J",,,,,,,
"C24","0.33uF",,"810-C1608X5R1C334K","16V",,,,,,
"X1","15MHz",,"815-ABM3C-25-D4YT",,,,,,,
"U8","GA1A1S",,"852-GA1A1S202WP",,,,,,,
"D1","DIODESCH",,"863-MBRS1100T3G",,,,,,,
"T1","H2019",,"871-B78476A8248A3",,,,,,,
"D3","LED",,"889-SWAA05",,,,,,,
"D4","LED",,"889-SWAA05",,,,,,,
"J1","3.3VDC",,,,,,,,,
"J2","48VDC",,,,,,,,,
"P2","CONN_10",,,,,,,,,
"P1","CONN_2",,,,,,,,,
"K2","CONN_3",,,,,,,,,
"J7","LAMP",,,,,,,,,
"K1","RT314024","relay-RT-C/O16A5",,,,,,,,
"J4","SERIAL",,,,,,,,,
,,,,,,,,,,
"Cap",,,"101-0119-EV",,,,,,,
,,,"101-0119-EV",,,,,,,
"Relay",,,"655-RT314024",,,,,,,
"screw",,,"534-8195-SEMS",,,,,,,
,,,"534-8195-SEMS",,,,,,,
,,,"534-8195-SEMS",,,,,,,
,,,"534-8195-SEMS",,,,,,,
